GEOG_ID,AIRO_AI_ID,ED_Ward,ED_WARD_ID,County_UD,Country,Average,1 Room (Households),2 Rooms (Households),3 Rooms (Households),4 Rooms (Households),5 Rooms (Households),6 Rooms (Households),7 Rooms (Households),8 or more Rooms (Households),Total (Households),% 1 Room (Households),% 2 Rooms (Households),% 3 Rooms (Households),% 4 Rooms (Households),% 5 Rooms (Households),% 6 Rooms (Households),% 7 Rooms (Households),% 8 or more Rooms (Households),% Total (Households)
N00000263,18751,Kircubbin,95BB15,Ards,NI,5,1,1,4,25,53,15,5,6,110,0.9,0.9,3.6,22.7,48.2,13.6,4.5,5.5,100
N00000264,18752,Kircubbin,95BB15,Ards,NI,6,0,2,5,18,64,30,28,49,196,0,1,2.6,9.2,32.7,15.3,14.3,25,100
N00000265,18753,Kircubbin,95BB15,Ards,NI,5.2,0,2,12,15,67,34,10,9,149,0,1.3,8.1,10.1,45,22.8,6.7,6,100
N00000266,18754,Kircubbin,95BB15,Ards,NI,5.6,0,2,3,18,52,15,17,19,126,0,1.6,2.4,14.3,41.3,11.9,13.5,15.1,100
N00000267,18755,Lisbane,95BB16,Ards,NI,6.8,0,0,2,19,18,18,9,86,152,0,0,1.3,12.5,11.8,11.8,5.9,56.6,100
N00000268,18756,Lisbane,95BB16,Ards,NI,6.5,0,0,3,9,28,33,16,53,142,0,0,2.1,6.3,19.7,23.2,11.3,37.3,100
N00000269,18757,Lisbane,95BB16,Ards,NI,6.8,1,0,1,9,20,19,18,67,135,0.7,0,0.7,6.7,14.8,14.1,13.3,49.6,100
N00000270,18758,Lisbane,95BB16,Ards,NI,6.6,0,0,3,5,26,25,27,47,133,0,0,2.3,3.8,19.5,18.8,20.3,35.3,100
N00000271,18759,Lisbane,95BB16,Ards,NI,6.9,0,0,1,5,19,27,24,66,142,0,0,0.7,3.5,13.4,19,16.9,46.5,100
N00000272,18760,Lisbane,95BB16,Ards,NI,5.7,0,2,1,18,47,35,11,19,133,0,1.5,0.8,13.5,35.3,26.3,8.3,14.3,100
N00000273,18761,Lisbane,95BB16,Ards,NI,7.2,0,1,2,6,17,12,19,106,163,0,0.6,1.2,3.7,10.4,7.4,11.7,65,100
N00000274,18762,Lisbane,95BB16,Ards,NI,6.6,0,2,2,14,28,33,25,72,176,0,1.1,1.1,8,15.9,18.8,14.2,40.9,100
N00000275,18763,Loughries,95BB17,Ards,NI,5.2,1,2,2,18,67,24,5,7,126,0.8,1.6,1.6,14.3,53.2,19,4,5.6,100
N00000276,18764,Loughries,95BB17,Ards,NI,5.4,0,0,4,5,77,25,11,4,126,0,0,3.2,4,61.1,19.8,8.7,3.2,100
N00000277,18765,Loughries,95BB17,Ards,NI,5.7,0,0,2,6,48,41,11,9,117,0,0,1.7,5.1,41,35,9.4,7.7,100
N00000278,18766,Loughries,95BB17,Ards,NI,5.2,0,0,5,30,45,27,9,5,121,0,0,4.1,24.8,37.2,22.3,7.4,4.1,100
N00000279,18767,Loughries,95BB17,Ards,NI,4.1,0,1,31,21,24,4,1,1,83,0,1.2,37.3,25.3,28.9,4.8,1.2,1.2,100
N00000280,18768,Loughries,95BB17,Ards,NI,4.9,0,1,10,40,76,15,10,2,154,0,0.6,6.5,26,49.4,9.7,6.5,1.3,100
N00000281,18769,Loughries,95BB17,Ards,NI,6.8,0,0,2,9,12,16,23,55,117,0,0,1.7,7.7,10.3,13.7,19.7,47,100
N00000282,18770,Loughries,95BB17,Ards,NI,6.5,0,0,1,2,46,15,18,50,132,0,0,0.8,1.5,34.8,11.4,13.6,37.9,100
N00000283,18771,Loughries,95BB17,Ards,NI,6,0,0,4,3,48,46,23,18,142,0,0,2.8,2.1,33.8,32.4,16.2,12.7,100
N00000284,18772,Loughries,95BB17,Ards,NI,5.3,0,2,4,19,79,29,14,10,157,0,1.3,2.5,12.1,50.3,18.5,8.9,6.4,100
N00000285,18773,Loughries,95BB17,Ards,NI,5,0,0,6,12,89,9,3,5,124,0,0,4.8,9.7,71.8,7.3,2.4,4,100
N00000286,18774,Millisle,95BB18,Ards,NI,5.3,1,2,18,17,39,19,14,16,126,0.8,1.6,14.3,13.5,31,15.1,11.1,12.7,100
N00000287,18775,Millisle,95BB18,Ards,NI,4.8,1,1,24,19,66,17,4,5,137,0.7,0.7,17.5,13.9,48.2,12.4,2.9,3.6,100
N00000288,18776,Millisle,95BB18,Ards,NI,5.7,0,1,3,17,40,41,20,16,138,0,0.7,2.2,12.3,29,29.7,14.5,11.6,100
N00000289,18777,Millisle,95BB18,Ards,NI,5.5,0,1,7,21,77,57,18,16,197,0,0.5,3.6,10.7,39.1,28.9,9.1,8.1,100
N00000290,18778,Millisle,95BB18,Ards,NI,4.9,0,0,14,25,56,27,5,1,128,0,0,10.9,19.5,43.8,21.1,3.9,0.8,100
N00000291,18779,Millisle,95BB18,Ards,NI,5.8,0,2,3,22,65,52,28,32,204,0,1,1.5,10.8,31.9,25.5,13.7,15.7,100
N00000292,18780,Millisle,95BB18,Ards,NI,6.6,0,0,5,13,39,54,56,95,262,0,0,1.9,5,14.9,20.6,21.4,36.3,100
N00000293,18781,Millisle,95BB18,Ards,NI,7.1,0,0,0,1,21,27,29,84,162,0,0,0,0.6,13,16.7,17.9,51.9,100
N00000294,18782,Millisle,95BB18,Ards,NI,6.8,0,1,1,10,19,15,30,64,140,0,0.7,0.7,7.1,13.6,10.7,21.4,45.7,100
N00000295,18783,Millisle,95BB18,Ards,NI,6.5,0,0,1,6,32,35,23,47,144,0,0,0.7,4.2,22.2,24.3,16,32.6,100
N00000296,18784,Movilla,95BB19,Ards,NI,6,0,1,0,3,29,48,25,8,114,0,0.9,0,2.6,25.4,42.1,21.9,7,100
N00000297,18785,Movilla,95BB19,Ards,NI,6,0,1,4,9,28,47,18,21,128,0,0.8,3.1,7,21.9,36.7,14.1,16.4,100
N00000298,18786,Movilla,95BB19,Ards,NI,5.6,0,0,0,4,62,31,19,3,119,0,0,0,3.4,52.1,26.1,16,2.5,100
N00000299,18787,Movilla,95BB19,Ards,NI,5.6,0,0,3,18,51,50,16,9,147,0,0,2,12.2,34.7,34,10.9,6.1,100
N00000300,18788,Movilla,95BB19,Ards,NI,4.9,0,0,12,36,53,20,9,3,133,0,0,9,27.1,39.8,15,6.8,2.3,100
N00000301,18789,Movilla,95BB19,Ards,NI,6.1,0,1,0,0,39,47,21,16,124,0,0.8,0,0,31.5,37.9,16.9,12.9,100
N00000302,18790,Movilla,95BB19,Ards,NI,6.3,0,0,0,2,38,37,19,31,127,0,0,0,1.6,29.9,29.1,15,24.4,100
N00000303,18791,Movilla,95BB19,Ards,NI,6.3,0,0,1,0,27,34,28,20,110,0,0,0.9,0,24.5,30.9,25.5,18.2,100
N00000304,18792,Movilla,95BB19,Ards,NI,5.7,0,0,5,5,44,39,11,13,117,0,0,4.3,4.3,37.6,33.3,9.4,11.1,100
N00000305,18793,Movilla,95BB19,Ards,NI,7.3,0,1,0,1,6,15,29,69,121,0,0.8,0,0.8,5,12.4,24,57,100
N00000306,18794,Movilla,95BB19,Ards,NI,6,0,0,1,2,45,41,20,19,128,0,0,0.8,1.6,35.2,32,15.6,14.8,100
N00000307,18795,Movilla,95BB19,Ards,NI,6.1,0,1,2,1,38,37,25,18,122,0,0.8,1.6,0.8,31.1,30.3,20.5,14.8,100
