Datacode,SA_NAME,GEOGID,Electoral Division CSO Code,Electoral Division Name,County,NUTS_III,NUTS_II,Planning Region,Persons_In_Communal_Establishments_Establishments_2011,Persons_In_Communal_Establishments_Persons_2011
4,17011004,A017011004,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
5,17011005,A017011005,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
6,17011006,A017011006,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
7,17011007,A017011007,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
8,17011008,A017011008,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,1,2
9,17011009,A017011009,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,8,138
10,17011010,A017011010,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,1,2
11,17011011,A017011011,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,1,1
12,17011012,A017011012,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,3,83
13,17011013,A017011013,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
14,17011014,A017011014,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
15,17011015,A017011015,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
16,17011016,A017011016,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
17,17011017,A017011017,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
18,17011018,A017011018,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
19,17011019,A017011019,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
20,17011020,A017011020,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
21,17011021,A017011021,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
22,17011022,A017011022,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
23,17011023,A017011023,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
24,17011024,A017011024,1001,001 Carlow Urban,Carlow,South-East,SE,Southern,0,0
115,17012001,A017012001,1020,020 Clogrenan,Carlow,South-East,SE,Southern,0,0
117,17012004,A017012004,1020,020 Clogrenan,Carlow,South-East,SE,Southern,0,0
118,17013001,A017013001,1021,021 Clonegall,Carlow,South-East,SE,Southern,0,0
119,17013002,A017013002,1021,021 Clonegall,Carlow,South-East,SE,Southern,0,0
120,17013003,A017013003,1021,021 Clonegall,Carlow,South-East,SE,Southern,0,0
121,17013004,A017013004,1021,021 Clonegall,Carlow,South-East,SE,Southern,0,0
31,17014001,A017014001,1003,003 Clonmore,Carlow,South-East,SE,Southern,0,0
32,17014002,A017014002,1003,003 Clonmore,Carlow,South-East,SE,Southern,0,0
204,17015001,A017015001,1050,050 Coonogue,Carlow,South-East,SE,Southern,0,0
122,17016001,A017016001,1022,022 Corries,Carlow,South-East,SE,Southern,0,0
123,17016002,A017016002,1022,022 Corries,Carlow,South-East,SE,Southern,0,0
124,17017001,A017017001,1023,023 Cranemore,Carlow,South-East,SE,Southern,0,0
125,17017002,A017017002,1023,023 Cranemore,Carlow,South-East,SE,Southern,0,0
